"@timestamp",message,"user.effective.name","related.user","user.name","log.file.path","process.name"
"Oct 24, 2022 @ 17:02:39.320","cd /home/resch/.scripts","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.320","./attack_chain.sh","-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.320",ls,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.320",exit,"-","-","-","/root/.bash_history","-"
"Oct 24, 2022 @ 17:02:39.000","Disconnected from user resch 172.18.0.3 port 38328","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 17:02:39.000","Received disconnect from 172.18.0.3 port 38328:11: disconnected by user","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 17:02:38.000","pam_unix(su:session): session closed for user root","-",root,root,"/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","Successful su for root by root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","+ /dev/pts/0 root:root","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","pam_unix(su:session): session opened for user root by resch(uid=0)",root,"resch, root",resch,"/var/log/auth.log",su
"Oct 24, 2022 @ 16:38:44.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory","-","-","-","/var/log/auth.log",su
"Oct 24, 2022 @ 16:36:18.000","Connection closed by authenticating user resch 172.18.0.3 port 38322 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 16:33:59.000","Connection closed by authenticating user resch 172.18.0.3 port 38288 [preauth]","-","-","-","/var/log/auth.log",sshd
"Oct 24, 2022 @ 16:33:18.000","Received disconnect from 172.17.0.1 port 41166:11: disconnected by user","-","-","-","/var/log/auth.log",sshd
